Place,Agency,Population 2015,Homicide 2015,Rape 2015,Robbery 2015,Aggravated assault 2015,Burglary 2015,Theft 2015,Motor theft 2015,Arson 2015,Cannabis 2015,Controlled substance 2015,Drug paraphernalia 2015,Hypodermic needle 2015,Methamphetamine 2015,Total drug crime 2015,Population 2014,Homicide 2014,Rape 2014,Robbery 2014,Aggravated assault 2014,Burglary 2014,Theft 2014,Motor theft 2014,Arson 2014,Cannabis 2014,Controlled substance 2014,Drug paraphernalia 2014,Hypodermic needle 2014,Methamphetamine 2014,Total drug crime 2014,Avg Commute Time,Diversity Index,Time to Loop - Car,Time to Loop - Transit,Time to Midway - Car,Time to Midway - Transit,Time to O'Hare - Car,Time to O'Hare - Transit
"Johnsburg village, Illinois",JOHNSBURG PD,6285,0,2,1,4,9,130,5,0,8,2,8,0,0,18,6293,0,1,1,2,8,110,4,0,7,12,15,2,0,36,33.27822832189644,0.46516458080686357,79,150,82,175,56,134
"Joliet city, Illinois",JOLIET PD (MCA),147991,10,44,114,295,837,2616,119,54,519,261,230,111,0,1121,147838,9,24,115,348,643,2263,115,47,536,308,212,5,4,1065,30.314403796112046,1.1182125741543754,53,101,45,103,48,143
"Justice village, Illinois",JUSTICE PD,13044,0,0,6,10,28,89,10,0,27,8,2,0,0,37,13055,0,2,4,12,27,88,18,9,30,15,2,0,0,47,31.356771270347373,1.0094997052693728,29,67,17,30,21,119
"Kaneville village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.89075630252101,0.37434533591166497,60,,58,,48,
"Kenilworth village, Illinois",KENILWORTH PD,2574,0,0,0,0,2,31,1,0,13,0,0,0,0,13,2564,0,0,0,0,9,35,1,0,7,0,0,0,0,7,35.639810426540286,0.2859864304487939,34,54,43,82,29,78
"Kildeer village, Illinois",KILDEER PD,3969,0,0,0,0,2,24,0,1,7,2,6,0,0,15,3970,0,0,0,0,4,28,0,1,8,1,5,0,0,14,34.06723963599595,0.6612541932475504,51,,54,,27,
"La Grange Park village, Illinois",LAGRANGE PARK PD,13685,0,0,1,2,5,69,5,0,7,0,3,0,0,10,13676,0,0,3,2,3,77,2,0,4,2,3,0,0,9,29.72704296545914,0.6186781880880068,26,86,21,50,21,67
"La Grange village, Illinois",LAGRANGE PD,15808,0,4,2,5,33,99,4,0,12,2,5,0,0,19,15774,0,2,3,3,22,138,2,0,16,7,12,2,0,37,30.854047163798597,0.6563496112040259,29,59,16,46,23,72
"Lake Barrington village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.21265284423179,0.3725663363226388,54,95,58,110,30,67
"Lake Bluff village, Illinois",LAKE BLUFF PD,5695,0,0,0,1,7,46,1,0,18,6,15,0,1,40,5700,0,0,0,0,5,39,1,0,21,9,21,1,0,52,29.46773433820066,0.4313665908442616,49,89,58,115,29,103
"Lake Forest city, Illinois",LAKE FOREST PD,19376,0,0,0,4,32,111,0,0,21,15,38,0,1,75,19343,0,0,0,2,19,123,2,0,34,14,33,0,0,81,30.330887971878344,0.40046016688991815,48,77,57,99,29,65
"Lake Villa village, Illinois",LAKE VILLA PD,8859,0,1,1,6,6,65,0,2,58,4,54,0,0,116,8847,0,2,0,5,10,56,2,0,70,12,72,0,0,154,34.468382764409625,0.8011240369262544,66,111,74,135,43,92
"Lake Zurich village, Illinois",LAKE ZURICH PD,20143,0,1,2,6,28,259,0,1,59,19,51,1,2,132,20057,0,3,0,3,21,288,0,1,37,12,29,1,0,79,31.41280353200883,0.6388961186366187,56,,59,,32,
"Lake in the Hills village, Illinois",LAKE IN THE HILLS PD,28868,0,5,0,14,13,116,0,1,55,11,51,0,0,117,28925,0,5,6,6,18,112,10,3,46,7,55,0,0,108,36.42771677927928,0.6707555932899649,66,137,70,154,41,128
"Lakemoor village, Illinois",LAKEMOOR PD (MCA),6002,0,0,0,1,4,25,0,0,11,1,7,0,0,19,6004,0,0,0,5,8,28,0,0,24,11,24,3,0,62,38.95225464190982,0.6082658789442339,70,,73,,47,
"Lakewood village, Illinois",LAKEWOOD PD,3800,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3799,0,0,0,1,2,2,1,0,0,0,0,0,0,0,34.550350026925145,0.4452463043197251,74,,78,,50,
"Lansing village, Illinois",LANSING PD,28555,3,8,55,18,177,1152,70,3,167,49,74,4,0,294,28547,2,10,50,29,185,918,68,1,141,38,64,3,0,246,30.192917343230494,1.0703667035482787,38,77,41,102,46,133
"Lemont village, Illinois",LEMONT PD (MCA),16801,0,3,1,1,21,147,8,4,134,21,129,0,0,284,16620,0,4,0,3,12,142,17,0,113,5,120,0,0,238,33.47261282978438,0.40841347444082293,39,124,27,146,31,174
"Libertyville village, Illinois",LIBERTYVILLE PD,20555,0,0,3,9,24,193,3,0,64,7,60,0,0,131,20456,0,1,1,9,21,239,5,0,96,7,85,0,0,188,26.55727224294086,0.44482051588020033,48,87,56,109,25,75
"Lily Lake village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.82459677419355,0.3021800669898685,70,,68,,49,
"Lincolnshire village, Illinois",LINCOLNSHIRE PD,7295,0,0,0,1,7,41,2,1,24,6,26,0,0,56,7279,0,5,0,2,6,34,0,0,25,2,17,3,0,47,29.64671654197839,0.4882217492358773,42,151,50,174,18,134
"Lincolnwood village, Illinois",LINCOLNWOOD PD,12710,0,0,6,6,47,332,12,1,67,13,6,0,0,86,12721,0,0,3,5,58,366,6,1,125,19,19,0,0,163,26.836010459469556,0.9543531755173331,26,56,36,85,20,31
"Lindenhurst village, Illinois",LINDENHURST PD,14484,0,3,0,0,7,57,0,0,28,2,23,0,0,53,14519,0,2,0,5,6,46,1,0,26,8,30,0,0,64,32.812184934466366,0.6287449648186936,60,,68,,37,
"Lisle village, Illinois",LISLE PD,22917,0,8,6,3,38,183,5,1,35,6,32,0,0,73,22830,0,2,5,2,40,225,12,0,38,8,36,3,0,85,28.31456592807846,0.9110017359678453,36,81,34,76,24,124
"Lockport city, Illinois",LOCKPORT PD,25166,0,3,2,5,34,191,6,2,80,23,67,1,0,171,25059,1,2,3,4,42,251,7,2,75,12,63,1,0,151,34.539283419023135,0.5098349451845529,47,114,34,89,38,160
"Lombard village, Illinois",LOMBARD PD,44008,0,11,16,21,77,766,12,3,92,19,79,0,0,190,44026,1,7,7,16,71,791,15,1,79,16,70,0,0,165,26.76655719759168,0.794296641492273,36,102,35,90,26,104
"Long Grove village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00172612197929,0.7492999139547103,50,,53,,26,
"Lynwood village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57399723374827,0.8928675245932456,40,91,42,151,48,153
"Lyons village, Illinois",LYONS PD,10783,0,2,3,7,14,99,9,1,10,4,4,1,0,19,10793,0,1,7,3,26,96,12,3,7,5,9,2,0,23,31.34658511722732,0.9608557219644762,27,64,15,30,28,103
"Manhattan village, Illinois",MANHATTAN PD,7357,0,0,0,6,3,18,1,1,8,2,9,0,0,19,7205,0,1,0,8,11,29,3,0,17,2,12,1,3,35,36.06361248905748,0.3659796779238782,58,99,50,83,54,142
"Maple Park village, Illinois",MAPLE PARK PD (MCA),1314,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1311,0,0,0,1,0,1,0,0,0,0,0,0,0,0,32.9635761589404,0.4143527524307796,72,,70,,60,
"Marengo city, Illinois",MARENGO PD,7472,0,1,0,2,15,59,3,1,28,2,27,2,0,59,7499,0,1,0,12,9,59,2,1,30,5,40,2,0,77,28.24398416082851,0.6387179253915808,73,,77,,49,
"Markham city, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.442640125720274,0.658138903341176,33,91,33,94,37,146
"Matteson village, Illinois",MATTESON PD,19190,0,4,28,19,71,486,40,0,33,12,8,0,0,53,19182,0,13,26,17,69,772,63,1,56,11,0,0,0,67,32.787841945288754,0.6165284398937756,40,69,40,97,44,123
"Maywood village, Illinois",MAYWOOD PD,24141,13,24,85,113,221,312,98,5,59,47,7,0,0,113,24174,7,16,82,108,207,365,108,2,129,100,9,0,0,238,28.00055463117027,0.7541557945583895,21,49,27,80,18,43
"McCook village, Illinois",MCCOOK PD,232,0,0,0,2,7,22,4,0,1,2,3,0,0,6,232,0,1,0,3,7,30,14,0,1,1,1,0,0,3,23.602150537634408,0.7066736569046226,25,62,13,30,26,108
"McCullom Lake village, Illinois",MCCULLOM LAKE PD,1020,0,0,0,0,1,0,0,0,5,0,4,0,1,10,1028,0,0,0,0,2,0,0,0,9,1,7,0,0,17,28.397027600849256,0.5651606978665213,82,195,85,221,59,180
"McHenry city, Illinois",MCHENRY PD,26534,0,6,4,28,24,250,6,0,65,39,89,1,2,196,26590,0,9,4,11,38,286,8,1,67,28,83,3,0,181,29.496448303078136,0.5757944456963486,79,148,81,174,54,133
"Melrose Park village, Illinois",MELROSE PARK PD,25532,3,5,9,14,43,200,41,1,25,21,9,3,1,59,25541,0,3,8,16,48,303,35,2,20,19,6,0,0,45,25.617655097021043,0.7482394281257475,27,62,34,68,18,42
"Merrionette Park village, Illinois",MERRIONETTE PARK PD,1896,,,,,,,,,,,,,,,1893,0,0,0,3,2,19,1,0,2,0,1,0,0,3,32.99338478500551,0.6680178958937898,31,79,25,45,37,129
"Mettawa village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.84090909090909,0.6310963592568819,44,162,52,176,20,140
"Midlothian village, Illinois",MIDLOTHIAN PD,14932,2,3,15,7,121,225,13,2,30,26,16,4,1,77,14948,0,2,21,6,132,166,19,2,33,11,14,0,0,58,29.008854612967724,0.9408811821477966,34,63,31,67,35,105
"Minooka village, Illinois",MINOOKA PD (MCA),11256,0,0,0,0,0,8,0,1,7,2,5,0,2,16,11174,0,0,0,7,7,110,1,0,20,3,15,1,1,40,33.026090268520285,0.5325789959258689,60,,48,,51,
"Mokena village, Illinois",MOKENA PD,19618,0,4,3,7,23,211,4,1,45,23,40,5,1,114,19271,0,0,3,5,22,170,10,7,74,21,61,2,1,159,32.70309578225639,0.338691750767108,46,85,43,84,46,126
"Monee village, Illinois",MONEE PD,5093,0,0,0,0,6,31,0,1,10,2,4,0,0,16,5088,0,1,0,1,19,28,5,0,10,2,5,2,0,19,36.03148301574151,0.8371399725911381,45,,44,,49,
"Montgomery village, Illinois",MONTGOMERY PD (MCA),19520,0,14,3,7,37,222,1,1,27,7,23,1,0,58,19305,1,10,7,11,36,215,9,6,15,3,22,0,0,40,31.72173024523161,0.9948906180098426,57,182,55,159,44,218
"Morton Grove village, Illinois",MORTON GROVE PD,23548,0,0,5,7,53,192,8,0,55,20,39,0,0,114,23575,1,2,5,17,81,219,3,0,109,27,59,0,0,195,28.78506010303377,0.9186171957424936,26,70,36,108,17,50
"Mount Prospect village, Illinois",MT PROSPECT PD,55119,0,3,12,22,54,433,15,0,80,29,68,0,0,177,54891,0,0,5,19,79,482,23,1,104,55,65,0,0,224,27.21123965704444,0.9238634514260343,39,76,45,91,14,48
"Mundelein village, Illinois",MUNDELEIN PD,31687,0,10,3,6,31,249,8,3,234,29,188,5,4,460,31464,1,4,3,11,46,208,6,1,174,27,163,5,5,374,28.686809234190047,0.9727232740043787,56,93,63,117,32,74
"Naperville city, Illinois",NAPERVILLE PD (MCA),147101,0,14,27,87,161,1477,33,3,280,101,213,3,0,597,145510,1,9,20,84,176,1431,37,3,294,108,218,3,0,623,33.62508429893936,0.8841469066886556,49,66,39,70,36,115
"New Lenox village, Illinois",NEW LENOX PD,25682,0,9,6,12,44,214,6,3,45,24,44,0,0,113,25093,1,3,4,16,36,259,10,0,43,22,54,0,0,119,35.242903007772895,0.3837447094599071,50,91,40,90,43,132
"Niles village, Illinois",NILES PD,30044,0,2,7,17,73,448,13,2,52,13,50,2,0,117,30071,0,0,14,13,86,590,24,1,74,10,58,2,2,146,28.892744734081187,0.8955948500340808,29,60,39,91,14,31
