community,commute,diversity,crime,schools,price,fips,median_price
"North Chicago city, Illinois",3.9458215772145127,2.163469482031557,-1.3759581891562713,-2.0476741394638847,0.6148514141320555,53559,"$52,000"
"North Riverside village, Illinois",1.5376148530850484,0.971565302064896,0.45762191261731533,0.5705564797548328,-0.321620121368938,54144,"$223,450"
"Northbrook village, Illinois",0.5474219405009916,-0.5453537312241177,0.8586904237205104,1.5456188534604198,-0.8844434480116877,53481,"$435,500"
"Northfield village, Illinois",0.28422265124598733,-1.226571226480714,0.723041794979388,2.300721027452128,-1.9726455460171048,53663,"$468,250"
"Northlake city, Illinois",2.0006419013901477,0.7575755238552478,0.4734787220534587,-0.901459619974478,1.1694688445739219,53871,"$170,000"
"Oak Brook village, Illinois",1.0073354396957166,0.47783782894701093,0.7734639508483458,1.1682768765929015,-1.1471819596414787,54534,"$555,000"
"Oak Forest city, Illinois",0.362588227001602,0.13988562135453617,-0.2647667381093742,-0.8401559240155215,-0.6032484804560339,54638,0
"Oak Lawn village, Illinois",-0.4176685139774078,0.258922800064813,0.10702389845862606,-0.821334918395894,1.752233651426462,54820,"$157,500"
"Oak Park village, Illinois",-0.2900276808094963,1.1449591568250626,0.8617762312918176,0.9188026496631276,0.6368606155241268,54885,"$340,600"
"Oakbrook Terrace city, Illinois",1.066493078627673,0.7557114669360278,0.7173614535292888,-0.4925913799454094,-0.6032484804560339,54560,0
"Oakwood Hills village, Illinois",-0.6562952266654374,-1.530225718999449,0.8292730430824075,0.6210253364194078,-0.6032484804560339,55041,0
"Old Mill Creek village, Illinois",0.8486437973349757,0.2273861889199134,-0.578844083128081,0.3959226332207644,0.30948937550156363,55639,"$250,000"
"Olympia Fields village, Illinois",-1.7002803023300426,0.10295963891910638,-0.0977944916186892,-1.3580066694272577,-0.6032484804560339,55938,0
"Orland Hills village, Illinois",-0.4437030779008155,0.21750577206182034,0.1537182822639869,0.12049505290859908,0.06986983736203921,56627,"$199,200"
"Orland Park village, Illinois",-0.8190825445055084,-0.33975486014209166,0.1410547469880113,0.12049505290859908,-0.2670700618055034,56640,"$240,000"
"Palatine village, Illinois",0.7108651901815172,1.022809933953917,0.3821412533431796,0.5069646072015843,-0.13612871336406496,57225,"$237,500"
"Palos Heights city, Illinois",-0.5577961990118082,-1.0454851660384383,1.0076731033352717,-0.4071676064094767,-0.2463957471579507,57381,"$243,000"
"Palos Hills city, Illinois",-0.16942466332462536,-0.1086493712177632,0.8255783466365985,0.12049505290859908,0.20965898246147033,57394,"$150,000"
